1;01.06.2021;М01;1;Поставка;20;187
2;01.06.2021;М01;2;Поставка;40;89
3;01.06.2021;М01;4;Продажа;21;19
4;01.06.2021;М01;5;Поставка;50;39
5;01.06.2021;М01;6;Продажа;26;270
6;01.06.2021;М01;7;Поставка;10;31
7;01.06.2021;М01;7;Продажа;13;49
8;01.06.2021;М01;8;Поставка;50;45
9;01.06.2021;М01;8;Продажа;66;49
10;01.06.2021;М01;9;Поставка;30;91
11;01.06.2021;М01;11;Продажа;13;257
12;01.06.2021;М01;16;Продажа;16;540
13;01.06.2021;М01;19;Продажа;38;203
14;01.06.2021;М01;22;Поставка;10;403
15;01.06.2021;М01;24;Продажа;27;254
16;01.06.2021;М01;30;Поставка;30;181
17;01.06.2021;М01;31;Продажа;52;67
18;01.06.2021;М01;36;Продажа;25;487
19;01.06.2021;М01;37;Продажа;51;97
20;01.06.2021;М01;39;Поставка;10;336
21;01.06.2021;М01;40;Продажа;16;313
22;01.06.2021;М01;41;Поставка;40;105
23;01.06.2021;М01;42;Поставка;20;58
24;01.06.2021;М01;43;Продажа;30;89
25;01.06.2021;М01;45;Продажа;10;55
26;01.06.2021;М01;49;Поставка;50;53
27;01.06.2021;М01;51;Продажа;12;551
28;01.06.2021;М01;52;Поставка;100;33
29;01.06.2021;М01;53;Поставка;30;78
30;01.06.2021;М01;53;Продажа;37;90
31;01.06.2021;М01;54;Продажа;65;111
32;01.06.2021;М01;57;Продажа;44;439
33;01.06.2021;М01;58;Продажа;9;172
34;01.06.2021;М01;59;Поставка;30;170
35;01.06.2021;М01;60;Поставка;20;155
36;01.06.2021;М01;64;Поставка;50;41
37;01.06.2021;М01;64;Продажа;63;47
38;01.06.2021;М02;1;Поставка;20;262
39;01.06.2021;М02;3;Поставка;50;82
40;01.06.2021;М02;6;Поставка;30;180
41;01.06.2021;М02;6;Продажа;26;230
42;01.06.2021;М02;10;Поставка;20;158
43;01.06.2021;М02;11;Поставка;10;249
44;01.06.2021;М02;13;Продажа;55;47
45;01.06.2021;М02;14;Продажа;24;222
46;01.06.2021;М02;15;Поставка;20;63
47;01.06.2021;М02;16;Поставка;20;424
48;01.06.2021;М02;16;Продажа;17;408
49;01.06.2021;М02;18;Поставка;50;53
50;01.06.2021;М02;23;Поставка;20;570
51;01.06.2021;М02;25;Поставка;20;113
52;01.06.2021;М02;25;Продажа;16;161
53;01.06.2021;М02;29;Поставка;100;39
54;01.06.2021;М02;29;Продажа;82;51
55;01.06.2021;М02;35;Поставка;50;53
